2.1,3,399  
1.6,3,329  
2.4,3,369  
1.4,2,232  
3.0,4,539  
2.0,4,299  
1.5,3,314  
1.4,3,198  
1.4,3,212  
1.5,3,242  
1.9,4,239  
2.0,3,347  
1.9,3,329  
4.4,5,699  
1.3,3,259  
2.3,4,449  
1.3,2,299  
1.2,3,199  
2.6,4,499  
3.0,4,599  
1.8,3,252  
1.9,2,255  
1.6,3,242  
2.0,4,259  
3.9,3,573  
1.1,3,249  
1.5,3,464  
2.5,3,469  
2.2,3,475  
2.6,3,299  
1.8,2,349  
1.0,1,169  
2.0,4,314  
3.1,3,579  
1.8,4,285  
1.4,3,249  
1.2,3,229  
2.1,4,345  
4.2,4,549  
2.2,4,287  
1.7,2,368  
2.2,3,329  
2.6,4,314  
1.2,3,299  
0.9,2,179  
1.9,4,299  
1.2,3,239  
